width_mm,height_mm,depth_mm,mount_panel,din_inclined,cable_entries,breakers_le63,load_switches,contactors,rcd,freq_converters,soft_starters,power_supplies,phase_relays,relays,fans,thermostats,fuse_holders,signal_lamps,analog_4_20mA,interfaces_count,terminals,ip_rating,plc_type,hmi_type,baseline_hours,actual_hours
600,400,250,1,0,13,9,1,2,0,3,0,1,1,0,0,0,7,1,9,3,54,IP54,Компактный ПЛК,Нет,19.82,19.97
400,300,200,1,1,11,7,0,4,0,0,0,1,0,3,2,1,1,1,7,2,73,IP65,Модульный ПЛК,"До 7""",17.27,16.7
400,300,200,1,0,15,13,1,9,1,0,0,1,0,7,0,0,4,2,8,1,116,IP65,Компактный ПЛК,Нет,22.4,23.2
800,600,300,1,1,5,5,0,3,1,0,0,1,1,5,0,0,4,1,1,2,48,IP65,Компактный ПЛК,Нет,10.96,12.01
1200,1000,400,1,0,13,8,0,3,2,3,0,1,1,4,0,0,1,0,9,3,67,IP21,Модульный ПЛК,"До 7""",21.96,26.12
800,800,300,1,0,13,10,1,4,0,5,0,1,1,8,2,1,4,4,6,2,104,IP21,Компактный ПЛК,"Свыше 7""",26.58,25.62
600,600,250,1,0,6,6,0,1,1,1,0,0,1,1,0,0,1,1,6,1,58,IP65,Компактный ПЛК,"До 7""",13.85,14.06
600,600,250,1,0,9,9,0,2,1,2,0,1,1,0,0,0,1,1,0,0,59,IP54,Нет,Нет,13.8,14.31
800,800,300,1,1,11,12,1,7,0,1,0,1,1,4,0,0,2,5,0,0,72,IP66,Нет,"До 7""",16.78,17.46
400,300,200,1,0,12,12,0,3,2,5,0,1,0,5,2,1,3,0,0,0,61,IP21,Нет,Нет,17.5,19.11
400,300,200,1,0,14,10,1,2,2,6,0,1,0,1,1,1,1,3,8,2,74,IP54,Релейное,"Свыше 7""",23.69,23.63
800,800,300,1,0,4,3,1,1,1,1,0,1,1,1,2,1,2,4,0,0,22,IP66,Нет,Нет,8.54,8.96
800,600,300,1,0,12,10,1,6,0,0,0,1,1,4,2,1,6,3,4,2,69,IP54,Компактный ПЛК,Нет,16.62,16.1
1000,800,300,1,1,8,4,0,2,1,1,0,1,0,2,1,1,7,0,4,3,35,IP65,Компактный ПЛК,"Свыше 7""",13.29,13.45
800,600,300,1,0,10,11,1,8,2,0,6,1,1,1,0,0,4,0,1,2,90,IP65,Компактный ПЛК,Нет,18.83,17.95
800,800,300,1,1,14,13,0,3,0,6,0,1,1,1,0,0,2,4,7,2,89,IP65,Модульный ПЛК,Нет,24.38,27.02
2000,800,600,0,1,11,10,0,1,1,5,0,1,1,3,0,0,7,1,6,3,83,IP65,Компактный ПЛК,"Свыше 7""",22.79,24.02
1200,1000,400,1,0,13,7,0,6,0,0,0,1,1,4,0,0,6,4,8,1,62,IP65,Компактный ПЛК,Нет,16.36,18.28
800,600,300,1,0,5,5,0,2,1,1,0,1,1,2,0,0,0,4,0,0,33,IP54,Нет,"До 7""",9.4,12.31
800,600,300,1,0,10,8,1,3,0,4,0,1,1,2,0,0,7,5,7,3,74,IP65,Модульный ПЛК,"До 7""",22.88,27.9
800,600,300,1,0,9,12,0,1,1,7,0,1,1,9,1,1,7,4,0,0,90,IP65,Нет,Нет,21.2,20.63
800,600,300,1,1,8,8,1,3,0,4,0,1,1,4,1,1,5,2,0,2,44,IP65,Модульный ПЛК,"До 7""",17.54,18.61
1000,800,300,1,0,9,6,1,2,0,1,0,1,1,2,2,1,3,2,7,2,64,IP54,Модульный ПЛК,"До 7""",17.14,19.18
600,600,250,1,0,13,7,1,0,0,4,0,1,0,1,1,1,6,0,11,1,74,IP65,Компактный ПЛК,"Свыше 7""",22.51,22.55
800,600,300,1,0,8,6,1,4,1,0,0,1,0,2,2,1,0,3,4,2,43,IP65,Модульный ПЛК,Нет,12.88,13.14
2000,800,600,1,0,11,5,0,1,0,0,0,1,1,1,0,0,3,2,11,2,60,IP66,Релейное,"До 7""",16.31,28.18
400,300,200,1,0,7,7,1,3,2,2,0,1,0,1,1,1,3,3,0,3,44,IP65,Модульный ПЛК,"До 7""",16.22,17.17
600,400,250,1,1,12,13,1,5,0,5,0,1,1,7,0,0,5,0,0,0,91,IP65,Нет,Нет,20.47,18.77
1000,800,300,1,1,12,8,1,5,1,0,0,1,1,6,0,0,0,2,10,2,88,IP66,Компактный ПЛК,"Свыше 7""",21.32,23.02
800,600,300,1,1,8,7,1,4,2,0,1,1,1,3,0,0,1,5,0,0,46,IP54,Нет,"До 7""",12.02,11.79
1200,1000,400,1,0,9,8,1,3,2,1,0,1,1,5,0,0,4,1,7,2,83,IP54,Релейное,Нет,17.73,28.45
800,800,300,1,0,10,10,1,2,2,7,0,1,1,1,0,0,1,3,3,3,48,IP54,Компактный ПЛК,"До 7""",19.82,18.9
800,800,300,1,1,8,3,0,0,0,1,0,1,0,1,0,0,0,2,9,3,34,IP21,Компактный ПЛК,"До 7""",13.46,14.03
800,600,300,1,0,13,9,0,0,1,6,0,1,0,7,0,0,7,3,8,1,78,IP54,Компактный ПЛК,Нет,22.58,22.41
2000,800,600,1,0,5,4,0,1,2,1,0,1,0,4,1,1,5,0,0,2,30,IP21,Компактный ПЛК,"До 7""",10.22,10.15
1200,1000,400,1,0,7,6,0,2,2,2,0,1,1,2,0,0,7,4,1,3,43,IP65,Релейное,Нет,14.86,14.51
800,600,300,1,0,7,3,0,2,1,0,0,1,1,3,0,0,6,3,7,1,41,IP21,Модульный ПЛК,Нет,12.61,12.36
800,600,300,1,0,9,6,1,5,0,0,0,1,1,5,0,0,6,3,3,2,51,IP65,Компактный ПЛК,"До 7""",13.99,15.4
600,400,250,1,0,5,4,1,1,0,1,0,1,0,3,2,1,1,0,5,3,37,IP54,Компактный ПЛК,Нет,11.93,12.17
400,300,200,1,0,12,7,1,1,1,5,0,1,0,8,0,0,7,3,9,1,69,IP65,Релейное,"Свыше 7""",22.86,25.78
400,300,200,1,1,11,9,0,7,2,0,0,1,0,6,0,0,7,0,7,3,103,IP65,Модульный ПЛК,Нет,20.43,19.0
800,600,300,1,0,11,12,1,9,1,1,0,1,1,7,0,0,1,4,1,2,110,IP66,Модульный ПЛК,"Свыше 7""",22.18,21.66
800,800,300,1,0,6,7,1,1,2,2,0,1,1,5,0,0,2,2,2,1,49,IP66,Релейное,Нет,15.51,17.05
800,800,300,1,1,2,2,1,0,0,0,0,1,1,0,0,0,5,5,0,0,14,IP54,Нет,Нет,5.73,5.01
600,600,250,1,1,10,7,0,2,2,3,0,1,1,2,1,1,5,4,8,1,52,IP21,Релейное,"Свыше 7""",20.47,21.6
400,300,200,1,0,8,5,1,2,2,0,0,1,0,3,0,0,5,4,11,1,73,IP21,Релейное,Нет,16.82,17.64
1000,800,300,1,0,5,4,0,2,2,1,0,0,1,4,2,1,2,1,1,2,33,IP54,Релейное,Нет,10.08,10.52
600,400,250,1,0,5,4,0,2,1,1,0,1,1,0,2,1,4,4,0,1,30,IP54,Релейное,"До 7""",10.25,11.14
600,400,250,1,1,12,10,1,9,0,0,0,1,1,3,0,0,2,1,0,0,80,IP65,Нет,Нет,14.2,13.01
600,600,250,1,0,6,2,1,1,1,0,0,0,1,1,0,0,4,5,6,1,29,IP66,Модульный ПЛК,"До 7""",12.12,12.75
2000,800,600,1,0,7,3,1,2,0,1,0,1,1,2,0,0,4,1,2,2,41,IP54,Модульный ПЛК,"Свыше 7""",12.24,12.17
800,800,300,1,0,7,7,1,2,0,2,0,1,0,7,0,0,4,2,0,0,55,IP66,Нет,Нет,14.7,14.68
800,600,300,1,1,10,8,0,2,1,2,0,1,1,0,0,0,7,3,5,2,62,IP54,Компактный ПЛК,Нет,18.26,18.73
800,800,300,1,1,13,11,0,0,0,7,0,1,1,7,2,1,6,0,7,1,79,IP65,Модульный ПЛК,Нет,23.69,25.19
600,600,250,1,1,12,8,1,3,0,5,0,1,1,1,2,1,4,1,3,1,65,IP65,Компактный ПЛК,"Свыше 7""",20.41,18.61
600,400,250,1,0,11,12,0,4,1,6,0,1,1,3,2,1,7,2,0,0,79,IP65,Нет,"До 7""",20.66,18.82
800,600,300,1,0,15,10,1,8,1,0,0,1,1,2,2,1,4,3,10,2,83,IP54,Компактный ПЛК,"До 7""",21.44,22.19
600,400,250,1,0,14,8,0,5,1,0,0,1,0,8,0,0,0,4,11,2,80,IP21,Модульный ПЛК,Нет,19.63,20.26
800,600,300,1,0,14,10,1,6,1,0,0,1,1,7,2,1,2,5,8,2,77,IP65,Компактный ПЛК,Нет,19.64,20.66
800,800,300,1,0,6,6,0,4,2,0,0,0,1,4,1,1,3,5,0,0,57,IP65,Нет,Нет,11.16,10.33
800,800,300,1,0,9,7,1,3,1,1,0,1,0,5,0,0,3,2,9,3,89,IP21,Компактный ПЛК,Нет,19.11,20.08
600,600,250,1,0,5,3,1,2,0,0,0,1,1,1,0,0,2,1,0,0,25,IP66,Нет,"До 7""",7.57,7.98
1200,1000,400,1,0,17,12,0,9,1,1,0,1,1,2,0,0,6,1,9,2,113,IP65,Релейное,"До 7""",23.57,24.49
1000,800,300,1,0,6,6,0,3,1,0,0,1,0,0,2,1,4,1,0,0,34,IP54,Нет,"Свыше 7""",9.3,9.14
600,400,250,1,1,6,7,1,3,2,1,0,0,1,0,1,1,4,4,1,1,48,IP54,Компактный ПЛК,Нет,12.63,12.87
2000,800,600,1,0,7,5,0,0,1,1,0,1,1,1,1,1,1,2,7,1,43,IP54,Компактный ПЛК,"Свыше 7""",13.96,13.63
800,800,300,1,0,8,8,1,3,1,2,0,1,1,5,0,0,6,2,0,2,65,IP54,Релейное,"Свыше 7""",17.58,16.86
400,300,200,1,0,11,11,1,6,2,0,0,1,0,2,0,0,1,2,7,1,108,IP54,Компактный ПЛК,"Свыше 7""",20.56,19.95
600,600,250,1,1,6,4,1,2,1,0,0,1,1,2,0,0,4,5,7,1,47,IP54,Релейное,Нет,13.14,13.16
1200,1000,400,1,1,7,7,0,5,0,0,0,1,0,2,2,1,7,4,3,3,53,IP54,Компактный ПЛК,Нет,14.03,13.96
2000,800,600,1,1,8,7,0,1,1,2,0,1,1,3,0,0,0,5,3,3,40,IP21,Компактный ПЛК,"До 7""",16.44,16.47
800,800,300,1,0,4,3,1,0,2,1,0,0,1,1,0,0,3,5,2,3,20,IP54,Компактный ПЛК,"До 7""",10.25,10.11
1200,1000,400,1,0,8,8,1,1,1,5,0,1,1,3,0,0,1,0,0,0,43,IP21,Нет,"До 7""",14.71,13.76
400,300,200,1,0,7,10,0,4,1,1,2,1,0,0,2,1,1,0,0,0,69,IP54,Нет,Нет,13.25,12.91
400,300,200,1,1,8,6,0,1,2,2,0,1,0,2,2,1,3,5,7,2,61,IP54,Компактный ПЛК,Нет,19.23,18.61
1200,1000,400,1,0,4,5,1,3,0,0,0,1,1,5,0,0,6,2,0,0,55,IP54,Нет,Нет,9.98,10.99
2000,800,600,1,0,11,11,1,2,0,7,0,0,1,6,0,0,1,2,0,0,81,IP54,Нет,Нет,18.9,18.44
1200,1000,400,1,1,12,7,1,6,1,0,0,1,1,1,0,0,4,4,8,2,90,IP54,Релейное,Нет,18.57,20.18
1000,800,300,1,0,7,6,1,1,0,1,0,1,1,5,2,1,5,5,0,0,37,IP54,Нет,Нет,10.62,9.77
800,600,300,1,0,8,6,0,3,2,0,0,1,0,2,2,1,6,2,0,0,46,IP21,Нет,"Свыше 7""",11.12,11.9
600,400,250,1,0,12,10,0,7,2,0,0,0,1,9,2,1,2,1,9,3,128,IP65,Компактный ПЛК,Нет,23.43,23.89
600,400,250,1,1,8,7,0,2,0,2,0,1,1,4,0,0,1,3,0,0,57,IP21,Нет,"До 7""",14.96,15.36
2000,800,600,1,1,11,12,0,6,0,3,0,1,1,5,1,1,2,2,0,0,73,IP54,Нет,"До 7""",19.02,21.82
600,400,250,1,0,9,6,0,2,2,4,0,1,0,2,1,1,0,0,0,0,39,IP54,Нет,Нет,13.06,13.48
1000,800,300,1,1,2,5,1,0,1,0,0,1,1,0,1,1,2,4,0,0,23,IP65,Нет,"До 7""",7.92,8.36
1000,800,300,1,0,4,2,0,2,1,0,0,1,1,1,1,1,4,3,0,0,23,IP54,Нет,"Свыше 7""",7.83,8.52
600,600,250,1,1,6,3,1,0,2,1,0,1,1,0,2,1,2,3,0,0,16,IP65,Нет,"Свыше 7""",8.83,8.96
2000,800,600,1,0,13,8,1,0,2,5,0,0,1,2,2,1,5,4,10,1,59,IP54,Релейное,"До 7""",22.29,25.42
800,600,300,1,0,8,8,0,3,2,2,0,1,1,4,0,0,1,3,0,0,56,IP21,Нет,"До 7""",15.39,15.19
600,400,250,1,0,10,6,0,3,2,1,0,0,1,0,1,1,1,5,5,3,51,IP54,Компактный ПЛК,Нет,14.53,14.7
400,300,200,1,0,12,8,0,3,1,2,0,1,0,0,0,0,5,3,10,1,55,IP54,Компактный ПЛК,"До 7""",20.11,21.26
600,600,250,1,0,10,8,0,6,0,0,1,0,1,2,0,0,6,0,0,0,52,IP66,Нет,"Свыше 7""",12.36,13.44
2000,800,600,1,0,8,4,0,2,1,0,0,1,1,2,0,0,5,2,11,2,59,IP66,Компактный ПЛК,Нет,15.98,18.81
600,400,250,1,0,10,9,1,6,1,0,0,1,0,8,0,0,4,3,5,2,87,IP54,Компактный ПЛК,Нет,17.79,17.83
2000,800,600,1,1,10,7,0,3,0,2,0,1,1,4,0,0,7,0,7,3,53,IP65,Компактный ПЛК,"До 7""",19.25,20.05
400,300,200,1,1,13,10,1,7,0,0,0,1,0,6,0,0,6,0,4,3,73,IP65,Компактный ПЛК,Нет,16.65,17.61
600,600,250,1,0,9,12,1,6,0,3,0,1,1,1,1,1,4,0,0,0,68,IP66,Нет,"До 7""",18.39,17.95
800,800,300,1,0,10,11,0,2,2,5,0,1,1,6,0,0,2,5,2,3,60,IP66,Компактный ПЛК,Нет,20.2,21.06
1200,1000,400,1,1,11,10,1,3,1,5,0,0,1,10,0,0,0,5,0,1,93,IP54,Компактный ПЛК,"До 7""",22.04,22.28
800,600,300,1,0,10,7,1,6,2,0,0,1,1,2,0,0,2,0,0,0,67,IP21,Нет,"Свыше 7""",12.8,12.92
600,600,250,1,1,10,6,1,1,1,0,0,1,1,4,0,0,3,1,8,1,64,IP66,Компактный ПЛК,"До 7""",16.51,18.96
800,600,300,1,0,13,10,1,1,0,7,0,1,1,7,1,1,0,4,0,2,65,IP65,Модульный ПЛК,"До 7""",20.75,24.44
2000,800,600,1,0,10,9,0,5,0,0,0,1,1,3,0,0,6,0,2,2,82,IP54,Модульный ПЛК,"Свыше 7""",16.16,17.05
800,600,300,1,0,15,10,1,8,2,0,0,1,1,9,0,0,5,3,4,3,103,IP21,Релейное,"До 7""",20.86,19.46
1000,800,300,1,1,9,10,0,7,2,0,0,1,1,4,2,1,2,2,3,3,93,IP21,Релейное,"До 7""",18.71,17.25
800,800,300,1,0,6,8,0,3,1,0,0,1,1,4,0,0,4,5,0,0,53,IP54,Нет,Нет,10.72,10.81
400,300,200,1,0,10,9,1,3,0,3,0,1,0,0,2,1,6,5,6,3,69,IP66,Компактный ПЛК,"До 7""",22.2,22.02
600,400,250,1,0,8,8,0,7,1,0,0,1,1,5,1,1,0,2,0,3,64,IP21,Компактный ПЛК,Нет,13.58,12.33
1200,1000,400,1,1,5,5,1,4,2,1,2,1,0,4,2,1,6,1,1,3,58,IP21,Компактный ПЛК,"До 7""",15.76,18.2
1200,1000,400,1,0,15,9,0,9,2,0,0,1,1,6,1,1,4,3,9,3,93,IP54,Компактный ПЛК,"До 7""",22.27,24.14
600,400,250,1,0,8,6,1,4,0,0,0,1,1,7,1,1,2,1,0,0,63,IP66,Нет,Нет,11.99,12.22
800,800,300,1,1,8,8,0,4,1,3,0,1,1,8,1,1,4,2,1,1,77,IP65,Компактный ПЛК,"До 7""",19.94,17.84
600,600,250,1,0,13,12,0,3,2,6,0,1,1,3,0,0,1,5,0,0,67,IP54,Нет,"До 7""",19.32,19.65
600,600,250,1,0,14,8,1,6,1,0,0,1,1,8,0,0,7,2,10,3,111,IP21,Компактный ПЛК,Нет,22.27,23.0
1000,800,300,1,0,6,6,1,3,1,3,0,1,1,6,0,0,0,4,0,0,59,IP65,Нет,"До 7""",15.95,15.91
1000,800,300,1,0,14,10,0,9,2,0,0,1,1,2,1,1,2,0,5,3,81,IP21,Модульный ПЛК,"Свыше 7""",19.29,18.92
800,800,300,1,0,11,9,1,0,0,7,0,1,1,4,0,0,6,1,0,0,43,IP54,Нет,Нет,15.48,15.59
600,600,250,1,1,6,5,1,3,0,1,0,1,0,0,1,1,3,0,0,0,37,IP66,Нет,"До 7""",10.48,10.25
400,300,200,0,0,3,5,0,2,1,1,0,1,0,2,1,1,5,4,0,0,39,IP21,Нет,"До 7""",9.93,10.15
1000,800,300,0,0,6,2,0,1,2,0,0,1,0,1,0,0,0,0,7,1,32,IP54,Релейное,"До 7""",9.96,10.35
800,800,300,1,0,9,9,1,6,2,0,0,1,1,1,1,1,7,0,1,1,71,IP21,Компактный ПЛК,Нет,14.22,12.59
1200,1000,400,1,0,11,7,0,6,0,1,0,1,1,4,0,0,5,1,9,3,90,IP21,Модульный ПЛК,"До 7""",20.73,20.29
400,300,200,1,0,7,8,0,5,1,1,0,0,0,1,0,0,5,3,0,3,70,IP65,Компактный ПЛК,Нет,13.74,14.13
400,300,200,1,1,10,6,1,3,1,3,0,1,0,3,2,1,0,4,8,2,67,IP54,Компактный ПЛК,Нет,20.88,20.77
800,600,300,1,1,3,5,0,1,2,0,0,1,1,3,0,0,1,1,1,1,30,IP21,Компактный ПЛК,Нет,8.5,8.54
600,400,250,1,0,10,9,0,4,1,2,0,1,1,4,0,0,1,3,0,0,59,IP65,Нет,"До 7""",15.95,14.29
1200,1000,400,1,0,12,12,1,4,2,4,1,1,1,5,2,1,1,4,0,0,96,IP54,Нет,Нет,21.33,21.26
2000,800,600,1,1,8,8,1,4,0,2,0,1,0,7,1,1,5,0,4,3,60,IP66,Компактный ПЛК,"До 7""",20.13,23.88
1000,800,300,1,0,9,9,1,3,0,3,1,1,0,6,2,1,3,2,1,3,83,IP54,Компактный ПЛК,"До 7""",20.85,22.17
1200,1000,400,1,0,10,11,1,7,2,0,0,0,1,2,2,1,4,3,1,1,94,IP65,Компактный ПЛК,Нет,16.99,16.44
400,300,200,1,0,9,5,1,1,2,1,0,1,0,4,1,1,1,2,7,2,45,IP54,Модульный ПЛК,Нет,14.6,14.33
800,600,300,1,0,11,8,1,5,1,0,0,1,0,1,0,0,7,2,5,3,75,IP54,Релейное,"До 7""",16.52,15.86
600,600,250,1,0,9,9,0,3,0,5,0,1,1,5,0,0,4,2,1,2,56,IP54,Модульный ПЛК,Нет,17.85,19.24
600,600,250,0,1,10,10,0,9,2,0,0,1,0,2,0,0,2,3,2,3,75,IP54,Компактный ПЛК,Нет,15.69,15.29
800,600,300,1,1,10,13,0,6,0,3,0,1,1,0,2,1,0,0,1,3,99,IP65,Компактный ПЛК,Нет,21.15,20.62
800,600,300,1,0,10,6,1,5,0,0,0,0,1,1,2,1,4,4,8,3,54,IP21,Компактный ПЛК,Нет,15.75,16.19
1000,800,300,1,0,8,4,1,0,1,1,0,0,1,4,1,1,5,5,10,1,43,IP54,Компактный ПЛК,"До 7""",16.02,17.28
600,600,250,1,1,4,3,1,2,2,0,0,1,0,2,0,0,5,5,2,3,34,IP54,Компактный ПЛК,"До 7""",11.44,12.7
800,800,300,1,1,14,10,0,5,0,1,0,1,1,0,1,1,2,4,9,3,101,IP54,Компактный ПЛК,"Свыше 7""",22.57,22.96
1000,800,300,1,0,15,8,0,3,0,4,0,1,1,0,1,1,4,4,10,2,79,IP21,Релейное,"До 7""",23.45,23.1
1200,1000,400,1,0,6,2,0,0,2,0,0,1,0,0,0,0,6,1,2,2,14,IP21,Релейное,"Свыше 7""",7.8,7.94
800,800,300,1,0,8,3,1,2,0,0,0,1,1,2,1,1,0,5,7,1,38,IP54,Компактный ПЛК,"До 7""",13.1,13.14
1000,800,300,1,0,5,5,1,1,0,1,0,1,1,5,1,1,6,4,1,1,40,IP66,Модульный ПЛК,Нет,12.36,13.36
800,800,300,1,1,12,5,0,2,2,2,0,1,1,4,0,0,3,5,9,2,63,IP65,Модульный ПЛК,"Свыше 7""",21.82,41.39
1000,800,300,1,1,9,8,0,5,1,0,0,0,1,2,2,1,7,1,0,0,46,IP54,Нет,Нет,10.8,11.3
800,600,300,1,0,8,9,0,1,0,5,0,1,0,3,2,1,2,2,0,1,61,IP21,Модульный ПЛК,Нет,17.09,19.19
1000,800,300,1,0,12,12,1,3,0,6,0,1,0,7,2,1,3,0,0,2,62,IP65,Компактный ПЛК,"До 7""",20.01,19.92
400,300,200,1,0,8,2,1,0,2,0,0,0,0,2,0,0,4,1,6,3,35,IP66,Релейное,"До 7""",11.79,12.35
1000,800,300,1,0,11,9,1,1,2,6,0,1,1,9,0,0,3,3,0,0,78,IP54,Нет,Нет,19.0,18.51
400,300,200,1,0,11,10,0,7,2,0,0,1,0,3,2,1,6,0,4,2,76,IP54,Модульный ПЛК,"До 7""",17.76,17.18
2000,800,600,1,0,6,5,1,3,0,0,1,1,1,2,2,1,4,5,0,2,47,IP54,Релейное,"До 7""",12.22,11.57
800,600,300,0,1,9,3,1,1,0,0,0,1,1,1,0,0,4,3,9,1,34,IP21,Компактный ПЛК,"Свыше 7""",13.15,13.56
2000,800,600,1,0,13,7,0,5,0,1,1,1,1,3,0,0,1,0,7,3,70,IP21,Релейное,"До 7""",17.48,18.94
1000,800,300,1,0,17,11,0,9,1,1,0,1,0,0,2,1,0,2,10,3,102,IP65,Компактный ПЛК,"До 7""",23.43,20.99
800,800,300,1,1,7,6,1,1,1,1,0,1,0,0,0,0,2,2,7,2,52,IP21,Релейное,"До 7""",14.6,14.42
800,600,300,1,0,7,6,1,6,0,0,0,1,0,6,2,1,6,4,2,1,67,IP54,Релейное,Нет,14.25,12.98
800,600,300,1,1,4,3,0,3,1,0,0,1,0,1,0,0,0,4,1,1,39,IP54,Компактный ПЛК,"До 7""",9.96,9.91
2000,800,600,1,0,17,10,1,9,0,0,0,1,1,7,2,1,1,2,11,2,109,IP65,Модульный ПЛК,Нет,23.71,23.89
600,400,250,1,0,8,4,1,1,1,1,0,1,1,3,1,1,5,4,6,1,41,IP21,Компактный ПЛК,"До 7""",14.36,14.11
2000,800,600,1,1,6,4,0,1,1,0,0,0,0,0,2,1,5,1,3,2,29,IP21,Компактный ПЛК,"До 7""",10.29,9.17
400,300,200,1,0,12,10,0,6,2,0,0,1,0,6,2,1,6,1,8,2,107,IP54,Компактный ПЛК,"Свыше 7""",22.12,22.35
800,800,300,1,0,11,10,0,2,1,5,0,1,1,5,2,1,7,0,3,2,73,IP65,Модульный ПЛК,Нет,20.77,22.11
600,600,250,1,0,15,10,0,1,0,6,0,1,0,5,0,0,5,5,8,3,64,IP54,Модульный ПЛК,"До 7""",23.49,25.54
2000,800,600,0,0,10,9,1,4,1,1,0,1,1,3,0,0,1,3,7,3,68,IP21,Компактный ПЛК,"До 7""",17.7,19.43
1000,800,300,1,0,5,5,0,0,2,0,0,1,1,2,0,0,1,3,0,0,24,IP65,Нет,Нет,6.64,6.6
1200,1000,400,1,0,5,5,1,3,1,0,0,0,1,3,0,0,7,4,5,1,54,IP66,Компактный ПЛК,Нет,13.61,16.29
800,800,300,1,0,2,2,0,1,0,0,0,0,0,0,2,1,7,2,0,0,18,IP54,Нет,"До 7""",6.31,6.31
1000,800,300,1,1,6,7,1,3,0,1,1,0,1,5,1,1,0,2,2,1,54,IP21,Модульный ПЛК,"Свыше 7""",14.95,15.53
600,400,250,1,0,12,13,0,7,2,1,0,1,1,7,1,1,2,0,0,3,118,IP66,Релейное,"До 7""",21.17,19.87
1200,1000,400,1,0,10,8,0,5,1,2,0,0,0,1,0,0,6,5,2,1,55,IP54,Компактный ПЛК,"До 7""",17.36,16.92
800,800,300,1,0,9,7,1,4,1,0,0,1,1,0,1,1,6,3,0,0,37,IP54,Нет,Нет,9.75,9.8
800,800,300,1,0,8,9,1,7,1,0,0,1,1,3,0,0,3,3,0,1,89,IP65,Модульный ПЛК,"Свыше 7""",16.65,16.85
800,600,300,1,0,16,10,0,9,1,0,7,1,0,1,2,1,3,2,8,3,105,IP54,Компактный ПЛК,Нет,24.33,22.66
2000,800,600,1,1,10,11,0,6,2,0,0,0,1,3,2,1,7,3,5,3,106,IP54,Релейное,"До 7""",20.76,21.19
800,800,300,1,1,5,6,1,1,0,1,0,1,0,0,0,0,2,2,3,2,32,IP65,Релейное,"До 7""",11.08,10.75
600,600,250,1,0,9,5,0,3,0,1,0,1,0,5,0,0,5,0,4,2,58,IP54,Релейное,Нет,13.12,13.0
2000,800,600,1,0,2,4,1,2,1,0,0,1,1,2,0,0,7,1,0,0,28,IP65,Нет,Нет,7.16,7.42
400,300,200,1,0,6,4,0,3,0,1,0,1,0,3,0,0,7,2,4,3,48,IP54,Компактный ПЛК,"До 7""",13.61,14.26
2000,800,600,1,0,5,5,0,1,1,1,0,0,1,2,0,0,0,1,5,2,53,IP65,Модульный ПЛК,"До 7""",13.46,13.96
600,600,250,1,1,5,5,1,2,1,0,0,0,1,1,2,1,6,4,4,2,46,IP65,Компактный ПЛК,Нет,12.69,12.57
2000,800,600,1,0,6,4,1,2,2,0,0,1,1,0,0,0,1,3,7,1,52,IP21,Модульный ПЛК,"До 7""",14.03,15.29
800,600,300,1,0,8,10,0,0,0,5,0,1,1,3,2,1,4,1,0,0,66,IP65,Нет,"Свыше 7""",17.49,18.18
800,800,300,1,1,5,3,1,0,2,0,0,1,1,1,1,1,0,5,6,2,40,IP65,Релейное,"До 7""",12.71,12.85
1000,800,300,1,1,9,8,1,4,1,0,1,1,1,5,1,1,4,0,1,2,61,IP54,Модульный ПЛК,"До 7""",15.05,15.29
1200,1000,400,1,0,15,8,0,6,2,0,0,1,0,1,0,0,2,0,10,1,68,IP21,Компактный ПЛК,"До 7""",17.59,20.37
600,400,250,1,0,8,8,1,2,1,2,1,1,1,5,1,1,1,0,0,0,66,IP21,Нет,"До 7""",16.4,16.82
600,600,250,1,0,6,3,0,2,2,1,0,1,1,2,0,0,5,4,1,2,27,IP21,Компактный ПЛК,"До 7""",10.79,11.39
600,400,250,1,0,6,4,0,1,0,0,0,1,1,2,0,0,7,4,7,1,34,IP54,Компактный ПЛК,"До 7""",12.35,13.56
2000,800,600,1,0,8,7,1,3,2,0,0,1,1,4,1,1,3,3,2,1,70,IP21,Релейное,Нет,13.76,16.22
800,800,300,1,1,14,12,1,6,0,2,3,1,0,7,0,0,2,1,9,2,103,IP66,Компактный ПЛК,Нет,27.0,27.57
800,800,300,1,0,11,7,1,4,0,0,0,1,1,6,1,1,0,1,11,1,99,IP65,Модульный ПЛК,"До 7""",20.84,21.76
2000,800,600,1,0,13,8,1,2,2,3,1,1,1,2,0,0,1,3,8,3,74,IP54,Компактный ПЛК,Нет,21.69,33.62
600,400,250,1,0,7,8,0,4,2,2,0,1,1,6,2,1,0,1,0,0,79,IP54,Нет,Нет,16.88,16.67
800,600,300,1,0,9,5,1,2,0,1,0,1,1,2,2,1,2,5,7,1,57,IP66,Компактный ПЛК,Нет,16.09,16.21
400,300,200,0,0,12,10,0,2,2,7,0,1,0,10,0,0,3,5,7,1,84,IP54,Компактный ПЛК,"Свыше 7""",24.93,34.5
800,600,300,1,0,6,5,1,3,1,0,0,0,1,0,1,1,0,2,0,3,38,IP65,Модульный ПЛК,"До 7""",10.63,10.38
2000,800,600,1,0,9,3,0,1,1,0,0,0,0,3,1,1,2,4,10,1,47,IP54,Компактный ПЛК,"До 7""",14.51,16.8
800,600,300,1,1,9,4,1,4,0,0,0,1,0,5,0,0,7,0,6,3,69,IP65,Компактный ПЛК,"До 7""",15.93,14.02
